dataType,metadata_generatedAt,metadata_generatedBy,metadata_logFileName,metadata_schemaVersion,metadata_RSUID,metadata_kind,metadata_psid,metadata_bsmSource,metadata_externalID,coreData_msgCnt,coreData_id,coreData_secMark,coreData_position_lat,coreData_position_long,coreData_elevation,coreData_accelset_accelYaw,coreData_accelset_lat,coreData_accelset_long,coreData_accelset_vert,coreData_angle,coreData_accuracy_orientation,coreData_accuracy_semiMajor,coreData_accuracy_semiMinor,coreData_transmission,coreData_speed,coreData_heading,coreData_brakes_wheelBrakes_leftFront,coreData_brakes_wheelBrakes_rightFront,coreData_brakes_wheelBrakes_unavailable,coreData_brakes_wheelBrakes_leftRear,coreData_brakes_wheelBrakes_rightRear,coreData_brakes_traction,coreData_brakes_abs,coreData_brakes_scs,coreData_brakes_brakeBoost,coreData_brakes_auxBrakes,coreData_size,part2_suve_classification,part2_suve_cd_hpmstype,part2_suve_cd_role,part2_suve_vd_height,part2_suve_vd_mass,part2_suve_vd_bumpers_front,part2_suve_vd_bumpers_rear,part2_vse_events,part2_vse_ph_crumbdata,part2_vse_pp_confidence,part2_vse_pp_radiusofcurve,part2_vse_lights,coreData_position,randomNum,metadata_generatedAt_timeOfDay
bsm,3/19/2021 0:46,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,37,8690389,55600,"279,496,698","-824,491,632",-204,-1,5,-27,49,127,"26,985",15,11,unavailable,0,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491632 27.9496698),0.005749376,0.781944444
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,47,8690389,9450,"279,496,754","-824,491,585",-204,0,4,-26,49,127,"26,770",14,11,unavailable,0,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491585 27.9496754),0.297829635,0.785833333
bsm,3/19/2021 0:48,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,47,8690389,600,"279,513,848","-824,489,264",-221,-8,-14,-15,48,127,"23,834",15,12,unavailable,550,"28,444",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4489264 27.9513848),0.657880748,0.8
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,44,8690389,34750,"279,496,827","-824,491,525",-211,-3,7,-36,49,127,"27,000",13,10,unavailable,7,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491525 27.9496827),0.53729977,0.792777778
bsm,3/19/2021 0:48,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,28,8690389,11550,"279,520,989","-824,489,813",-215,-9,-6,-8,49,127,"23,911",15,12,unavailable,26,"28,487",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4489813 27.9520989),0.951428822,0.803055556
bsm,3/19/2021 0:46,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,108,8690389,24300,"279,496,618","-824,492,009",-192,-85,53,-236,49,127,"26,270",19,14,unavailable,144,"6,750",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4492009 27.9496618),0.559289057,0.773333333
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,121,8690389,4000,"279,496,744","-824,491,597",-203,0,3,-23,48,127,"26,815",14,11,unavailable,0,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491597 27.9496744),0.734607864,0.784444444
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,7,8690389,43800,"279,497,977","-824,488,578",-223,"-1,749",-292,-14,50,127,"26,544",13,10,unavailable,348,"2,913",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4488578 27.9497977),0.705430477,0.795277778
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,81,8690389,51150,"279,503,974","-824,488,406",-231,10,-40,89,49,127,"25,028",14,11,unavailable,540,"28,526",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4488406 27.9503974),0.131691621,0.7975
bsm,3/19/2021 0:19,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,115,8690389,51549,"279,507,078","-824,489,691",-229,"-1,556",-175,-97,50,127,"18,117",14,12,unavailable,403,"12,630",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4489691 27.9507078),0.906055427,0.330833333
